age,sleep_hours,work_hours,screen_time,physical_activity,deadline_pressure,stress_level,burnout_score,burnout_level
19.5,4.0,1.0,4.0,2.0,1.0,4.2802371381600945,13.0,Low
19.5,2.0,2.0,3.0,2.997543507964674,2.0,4.2802371381600945,24.0,Medium
19.5,2.0,1.0,4.0,2.997543507964674,3.0,4.2802371381600945,25.0,Medium
19.5,4.0,1.0,3.0,3.0,1.0,4.2802371381600945,21.0,Medium
19.5,3.0,3.0,3.0,2.0,3.0,4.2802371381600945,15.0,Low
19.5,2.0,3.0,4.0,2.0,1.0,4.2802371381600945,22.0,Medium
19.5,4.0,1.0,4.0,4.0,2.0,4.2802371381600945,22.0,Medium
19.5,3.0,1.0,3.0,2.0,2.0,4.2802371381600945,24.0,Medium
19.5,3.0,1.0,3.0,3.0,3.0,4.2802371381600945,21.0,Medium
23.0,4.0,2.0,3.0,4.0,2.0,4.2802371381600945,23.0,Medium
19.5,4.0,4.0,2.0,4.0,1.0,4.2802371381600945,6.0,Low
19.5,3.0,4.0,2.0,2.997543507964674,3.0,4.2802371381600945,25.0,Medium
19.5,2.0,1.0,4.0,2.997543507964674,2.0,4.2802371381600945,24.0,Medium
19.5,4.0,1.0,3.0,4.0,2.0,4.2802371381600945,21.0,Medium
19.5,4.0,1.0,3.0,2.0,1.0,4.2802371381600945,11.0,Low
19.5,2.0,2.0,4.0,2.997543507964674,1.0,4.2802371381600945,24.0,Medium
19.5,3.0,2.0,2.0,4.0,2.0,4.2802371381600945,23.0,Medium
19.0,5.990968986997754,3.189877796929935,5.77539200295764,1.7947053752397115,4.638069071544975,3.341312190329433,0.6159606252242448,Low
21.0,6.212257701073258,7.88145052762032,7.192148444333725,2.1707581559664577,6.760115724585405,5.34745099350582,2.618701268105005,Low
17.0,7.101864680899936,3.236521260837227,2.513446146764762,0.8197396647570301,5.691439949833244,3.5664556794340028,0.0,Low
17.0,3.145930253497567,5.593783413637025,3.0400543581294857,2.5387378703648147,5.927521140450316,5.963178134518943,4.608671553629699,Medium
25.0,6.243597653307057,2.5943122271235275,7.721106403214364,2.85920993985634,4.0308601219159,3.072377264357605,0.0578240650282701,Low
18.0,3.646003103442083,0.5650592942989592,7.689266575928348,2.3485009357129414,4.864400807786261,6.256976270027364,3.7338319063422167,Medium
26.0,8.887970039218407,7.432728553984987,4.882221245047807,4.613275554841435,8.067873204991285,5.746702888366619,1.8740797571076493,Low
28.0,8.90518219141952,5.273388264999091,4.157099575502604,1.4667868110113478,5.8582090519803245,0.8578750271470408,0.0,Low
20.0,6.153967020894469,8.04942918989977,4.391876106602897,3.6004587908441485,8.748923322310239,4.033816849278988,1.174204806818374,Low
18.0,5.481516532258945,5.863350377419994,5.00315106385822,2.9986347971373446,5.504989826345546,3.519604012576771,1.0761447469300995,Low
25.0,6.766556992588664,6.708178455116387,3.066509327610359,1.3010422278547928,7.112778578795651,4.480427609942905,0.0305547902034415,Low
24.0,6.132915019663745,6.399582702354569,3.6522614138040286,2.6213834370260214,7.610916514142297,4.458498355687547,2.268982668891616,Low
17.0,8.630536335898858,6.839161838782733,3.282802679477621,4.124166285552121,7.472534450883504,3.080595330799283,0.0,Low
27.0,5.832432516939771,3.813974327891015,4.7863904299404245,2.252735222746666,4.689152262715382,3.3116024532298387,0.0,Low
28.0,9.552448761588186,4.0883870876339685,4.923510750335423,2.1016318470074857,5.476488998885554,3.4036025959499137,0.4275254673607165,Low
